Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
zone out,ˌzəʊn ˈaʊt,phrasal verb,mất tập trung / lơ đễnh,to stop paying attention to something,I tend to zone out during long meetings.,Tôi có xu hướng lơ đễnh trong các cuộc họp dài.,She zoned out in front of the television.,Cô ấy mất tập trung trước tivi.,C1,,,,,I tend to _____________ during long meetings.,She _____________ in front of the television.,zebra crossing,"Vạch sang đường cho người đi bộ, lối qua đường vạch sọc",wash up,rửa bát đĩa,undershirt,áo lót nam,curtain,"rèm cửa, màn",drive,lái xe,Learning vocabulary
take sides,teɪk saɪdz,phrase,chọn phe / đứng về phía ai,to support one person or group against another,It's important not to take sides in their argument.,Điều quan trọng là không chọn phe trong cuộc tranh cãi của họ.,The referee should never take sides.,Trọng tài không bao giờ nên đứng về phía ai.,B2,,,,,It's important not to _____________ in their argument.,The referee should never _____________.,luggage,Hành lý,bill,hóa đơn thanh toán,pantyhose,quần tất mỏng,toilet,"bồn cầu, nhà vệ sinh",plea,"lời biện hộ, lời khai tại tòa; lời cầu xin",Learning vocabulary
in isolation,ɪn ˌaɪsəˈleɪʃn,phrase,một cách cô lập / riêng lẻ,"separately, not together with other things",This problem should not be considered in isolation.,Vấn đề này không nên được xem xét một cách cô lập.,The patient was kept in isolation for two weeks.,Bệnh nhân đã bị cách ly một cách riêng lẻ trong hai tuần.,C1,,,,,This problem should not be considered _____________.,The patient was kept _____________ for two weeks.,sidewalk,vỉa hè,rubber,cục tẩy (Anh),nappy,tã lót (Anh),French fries,"khoai tây chiên (que, thường dùng trong bữa ăn)",pledge,cam kết,Learning vocabulary
gutted,ˈɡʌtɪd,adjective,rất thất vọng / chán nản (từ lóng),extremely disappointed or upset,I was absolutely gutted when I lost my job.,Tôi đã vô cùng thất vọng khi mất việc.,She felt gutted about failing the exam.,Cô ấy cảm thấy chán nản vì trượt kỳ thi.,C1,,,,,I was absolutely _____________ when I lost my job.,She felt _____________ about failing the exam.,lift,"nâng lên, nhấc lên",petrol,xăng (Anh),ground floor,tầng trệt (Anh),flashlight,Đèn pin,poll,"cuộc thăm dò ý kiến, cuộc bầu cử, số phiếu bầu",Learning vocabulary
felon,ˈfelən,noun,tội phạm trọng tội (từ cũ/Mỹ),a person who has committed a serious crime,The felon was sentenced to ten years in prison.,Tên tội phạm trọng tội đã bị kết án mười năm tù.,He is a convicted felon.,Anh ta là một tội phạm đã bị kết án.,C1,,,,,The _____________ was sentenced to ten years in prison.,He is a convicted _____________.,baggage,hành lý (nói chung),pavement,vỉa hè (Anh),first floor,tầng 1 (Mỹ),closet,tủ quần áo,probe,"thăm dò, điều tra",Learning vocabulary
at a loss for words,ət ə ˌlɒs fə ˈwɜːdz,idiom,không nói nên lời,unable to think of anything to say,I was at a loss for words when I heard the news.,Tôi đã không nói nên lời khi nghe tin tức.,"She stood there, at a loss for words.","Cô ấy đứng đó, không nói nên lời.",B2,,,,,I was _____________ when I heard the news.,"She stood there, _____________.",center,trung tâm; tập trung,lorry,xe tải (Anh),trousers,quần dài (Anh),yard,"sân, khoảng sân",wed,kết hôn,Learning vocabulary
appropriately,əˈprəʊpriətli,adverb,một cách thích hợp,in a way that is suitable or right for a particular situation,Please dress appropriately for the formal event.,Vui lòng ăn mặc một cách thích hợp cho sự kiện trang trọng.,She responded appropriately to the criticism.,Cô ấy đã phản hồi một cách thích hợp trước những lời chỉ trích.,B2,,,,,Please dress _____________ for the formal event.,She responded _____________ to the criticism.,jewelry,Trang sức (nói chung),gasoline,xăng,vest,Áo gilê,garden,khu vườn,talks,cuộc hội đàm/đàm phán,Learning vocabulary
alight,əˈlaɪt,verb,"xuống (xe, tàu) - trang trọng",to get out of a vehicle,The bird alighted on the branch.,Con chim xuống đậu trên cành cây.,Passengers should alight at the next station.,Hành khách nên xuống xe ở ga tiếp theo.,B2,,,,,The bird _____________ on the branch.,Passengers should _____________ at the next station.,truck,xe tải,crosswalk,vạch qua đường,note,"chú ý, để ý",bathroom,phòng tắm,strife,"sự xung đột, sự đấu tranh",Learning vocabulary
bug,/bʌɡ/,noun,Lỗi (phần mềm/máy tính),"a fault in a machine, especially in a computer system or program",They found a bug in the conference room.,Họ đã tìm thấy một thiết bị nghe lén trong phòng họp.,The office was bugged by intelligence agents.,Văn phòng đã bị các điệp viên cài thiết bị nghe lén.,B1,,,,,They found a _____________ in the conference room.,The office was _____________ by intelligence agents.,eraser,Cục tẩy,zebra crossing,"Vạch sang đường cho người đi bộ, lối qua đường vạch sọc",underpants,Quần lót nam,Scotch tape,băng dính trong suốt (nhãn hiệu Scotch),member of parliament,nghị sĩ,Learning vocabulary
collocation,/ˌkɒləˈkeɪʃn/,noun,kết hợp từ,a combination of words in a language that happens very often and more frequently than would happen by chance,Make a mistake is a common collocation in English.,Make a mistake là một kết hợp từ phổ biến trong tiếng Anh.,Learning collocations can make your English sound more natural.,Học các kết hợp từ có thể làm cho tiếng Anh của bạn nghe tự nhiên hơn.,B2,,,,,_____________ is a common collocation in English.,Learning _____________ can make your English sound more natural.,color,màu sắc; tô màu,luggage,Hành lý,check,kiểm tra,cookie,"cookie, tệp tin lưu trữ tạm",threat,mối đe dọa,Learning vocabulary
