advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
academic journal,ˌækəˈdemɪk ˈdʒɜːnl,noun phrase,tạp chí học thuật,a magazine containing academic articles,Her article was published in a leading academic journal.,Bài báo của cô ấy được đăng trên một tạp chí học thuật hàng đầu.,You should consult academic journals for your literature review.,Bạn nên tham khảo các tạp chí học thuật cho phần tổng quan tài liệu của mình.,B2,,,,,Her article was published in a leading _____________.,You should consult _____________ for your literature review.,masculine,"giống đực, (thuộc) nam",capital punishment,hình phạt tử hình,undermine,"làm suy yếu, phá hoại (lòng tin, quyền lực)",advocate,"ủng hộ, biện hộ",plunge,"lao dốc, sụt giảm mạnh",Cramming for success: study and academic work
carry out research,ˌkæri ˌaʊt rɪˈsɜːtʃ,verb phrase,thực hiện nghiên cứu,to do research,The university is carrying out research into climate change.,Trường đại học đang thực hiện nghiên cứu về biến đổi khí hậu.,Scientists need funding to carry out research.,Các nhà khoa học cần kinh phí để thực hiện nghiên cứu.,B2,,,,,The university is _____________ into climate change.,Scientists need funding to _____________.,feminine,"giống cái, (thuộc) nữ",naive,"ngây thơ, khờ dại",upgrade,nâng cấp,empirical,dựa trên thực nghiệm/thực tế,soar,"tăng vọt, bay cao",Cramming for success: study and academic work
feedback,ˈfiːdbæk,noun,phản hồi / nhận xét,opinions about a performance or product,The teacher gave us useful feedback on our essays.,Giáo viên đã đưa ra những phản hồi hữu ích về bài luận của chúng tôi.,We need more feedback from customers to improve.,Chúng tôi cần thêm nhận xét từ khách hàng để cải thiện.,B2,,,,,The teacher gave us useful _____________ on our essays.,We need more _____________ from customers to improve.,tabloid,"báo lá cải (thường tập trung vào giật gân, tin tức về người nổi tiếng)",utterly,"hoàn toàn, hết sức",converse,"trò chuyện, nói chuyện",arbitrary,"tùy tiện, độc đoán",provoke,"gây ra, khơi gợi (phản ứng)",Cramming for success: study and academic work
finals,ˈfaɪnlz,noun,kỳ thi tốt nghiệp / thi cuối khóa,the final exams at university,I'm so stressed because my finals are next week.,Tôi rất căng thẳng vì kỳ thi cuối khóa của tôi diễn ra vào tuần tới.,She studied hard to pass her finals.,Cô ấy đã học rất chăm chỉ để vượt qua kỳ thi tốt nghiệp.,B2,,,,,I'm so stressed because my _____________ are next week.,She studied hard to pass her _____________.,rip,"xé, làm rách, xé toạc",dismal,"ảm đạm, u ám; tồi tệ.",contaminate,"làm ô nhiễm, làm bẩn",conceive,"hình thành ý tưởng, quan niệm",spark,"khơi mào, châm ngòi, kích hoạt",Cramming for success: study and academic work
inter-library loan,ˌɪntə ˈlaɪbrəri ləʊn,noun phrase,mượn liên thư viện,a system where libraries lend books to each other,I requested the book through the inter-library loan system.,Tôi đã yêu cầu mượn cuốn sách qua hệ thống mượn liên thư viện.,The inter-library loan took two weeks to arrive.,Sách qua mượn liên thư viện mất hai tuần mới đến.,C1,,,,,I requested the book through the _____________ system.,The _____________ took two weeks to arrive.,attain,đạt được,stream,phát trực tuyến,emit,"thải ra, phát ra",contradict,"mâu thuẫn, phủ nhận",bring about,"mang lại, gây ra",Cramming for success: study and academic work
open educational resources,ˌəʊpən ˌedʒuˈkeɪʃənl rɪˈzɔːsɪz,noun phrase,tài nguyên giáo dục mở,free online learning materials,I use many free open educational resources for my studies.,Tôi sử dụng nhiều tài nguyên giáo dục mở miễn phí cho việc học.,Open educational resources help make learning more affordable.,Tài nguyên giáo dục mở giúp việc học trở nên dễ tiếp cận hơn.,C1,,,,,I use many free _____________ for my studies.,_____________ help make learning more affordable.,demolish,phá hủy,put forward,"đưa ra, đề xuất",inappropriate,"không phù hợp (trang phục, hành vi)",indicate,"chỉ ra, cho thấy",stem from,"bắt nguồn từ, xuất phát từ",Cramming for success: study and academic work
well-qualified,ˌwel ˈkwɒlɪfaɪd,adjective,có trình độ cao / đủ năng lực,having appropriate qualifications,Our staff are highly well-qualified professionals.,Đội ngũ của chúng tôi là những chuyên gia có trình độ cao.,She is a well-qualified candidate for the job.,Cô ấy là một ứng viên đủ năng lực cho công việc.,B2,,,,,Our staff are highly _____________ professionals.,She is a _____________ candidate for the job.,commence,"bắt đầu, khởi công",dwell on,"day dứt, suy nghĩ mãi về (chuyện không hay)",inaccuracy,sự không chính xác,bracket,"giá đỡ, khung, nhóm (thu nhập, độ tuổi)",correspond,"tương ứng, phù hợp",Cramming for success: study and academic work
assess,/əˈses/,Verb,"Đánh giá, ước tính.",To make a judgement about the nature or quality of someone or something.,We need to assess the impact of the new policy.,Chúng ta cần đánh giá tác động của chính sách mới.,The property was assessed for tax purposes.,Tài sản đã được định giá cho mục đích thuế.,B2,,,,,We need to _____________ the impact of the new policy.,The property was _____________ for tax purposes.,cabin,"cabin, phòng nhỏ trên tàu, khoang máy bay",regret,"hối hận, hối tiếc",division,"sự phân chia, bộ phận",aforementioned,đã đề cập ở trên,eyeglasses,mắt kính,Cramming for success: study and academic work
access,/ˈækses/,noun,"quyền truy cập, sự tiếp cận",the opportunity or right to use or see something,The building provides wheelchair access.,Tòa nhà có lối đi cho xe lăn.,The building provides access for wheelchair users.,Tòa nhà cung cấp lối đi cho người dùng xe lăn.,B1,,,,,The building provides wheelchair _____________.,The building provides _____________ for wheelchair users.,ceremony,"nghi lễ, nghi thức, buổi lễ",eager,"háo hức, nhiệt tình",bullying,"Sự bắt nạt, bạo hành",sniff,"hít, ngửi",negotiation,"Cuộc đàm phán, thương lượng",Cramming for success: study and academic work
drop out,/ˌdrɒp ˈaʊt/,phrasal verb,Bỏ học giữa chừng.,"To leave school, college, etc. without finishing your studies.",She started a degree but dropped out after only a year.,Cô ấy bắt đầu một khóa học đại học nhưng đã bỏ học chỉ sau một năm.,The program has a high number of students who drop out.,Chương trình có tỷ lệ sinh viên bỏ học cao.,B2,,,,,She started a degree but _____________ after only a year.,The program has a high number of students who _____________.,design,"Thiết kế, kiểu dáng",rainfall,Lượng mưa,pedestrian,người đi bộ,doodle,vẽ nguệch ngoạc (khi mất tập trung),summarize,tóm tắt,Cramming for success: study and academic work
